,AAPL,AMZN,META,MSFT,NVDA
2024-01-02,183.56216430664062,149.92999267578125,343.5936279296875,363.80145263671875,48.138572692871094
2024-01-03,182.187744140625,148.47000122070312,341.787841796875,363.5366516113281,47.53993606567383
2024-01-04,179.8739471435547,144.57000732421875,344.4171447753906,360.9273376464844,47.96867752075195
2024-01-05,179.152099609375,145.24000549316406,349.2095642089844,360.740966796875,49.0670051574707
2024-01-08,183.4830780029297,149.10000610351562,355.8674011230469,367.5486755371094,52.22107696533203
2024-01-09,183.06777954101562,151.3699951171875,354.64691162109375,368.6277770996094,53.10753631591797
2024-01-10,184.10604858398438,153.72999572753906,367.5853576660156,375.4747314453125,54.31679916381836
2024-01-11,183.51275634765625,155.17999267578125,366.7916259765625,377.29925537109375,54.78850173950195
2024-01-12,183.83905029296875,154.6199951171875,371.57403564453125,381.06610107421875,54.67657470703125
2024-01-16,181.57469177246094,153.16000366210938,364.59881591796875,382.8317565917969,56.347557067871094
2024-01-17,180.6352996826172,151.7100067138672,365.5017395019531,382.0469665527344,56.01876449584961
2024-01-18,186.5187225341797,153.5,373.20135498046875,386.3631286621094,57.072113037109375
2024-01-19,189.41592407226562,155.33999633789062,380.46435546875,391.0716857910156,59.45466232299805
2024-01-22,191.7198486328125,154.77999877929688,378.80731201171875,388.95281982421875,59.61756134033203
2024-01-23,192.9954071044922,156.02000427246094,382.20068359375,391.2972717285156,59.836421966552734
2024-01-24,192.3230438232422,156.8699951171875,387.65789794921875,394.8874816894531,61.32451629638672
2024-01-25,191.99671936035156,157.75,390.1185302734375,397.15350341796875,61.57935333251953
2024-01-26,190.26629638671875,159.1199951171875,391.0711364746094,396.23138427734375,60.99371337890625
2024-01-29,189.58401489257812,161.25999450683594,397.89752197265625,401.91107177734375,62.42683792114258
2024-01-30,185.93531799316406,159.0,396.94500732421875,400.8025817871094,62.73564910888672
2024-01-31,182.3360595703125,155.1999969482422,387.10223388671875,390.00238037109375,61.489418029785156
2024-02-01,184.76852416992188,159.27999877929688,391.70611572265625,396.08428955078125,62.98849868774414
2024-02-02,183.76983642578125,171.80999755859375,471.2915344238281,403.3824768066406,66.11958312988281
2024-02-05,185.57933044433594,170.30999755859375,455.8328552246094,397.91864013671875,69.28964233398438
2024-02-06,187.1812286376953,169.14999389648438,451.1794128417969,397.76165771484375,68.18132781982422
2024-02-07,187.2899932861328,170.52999877929688,465.9336242675781,406.15850830078125,70.05618286132812
2024-02-08,186.2122039794922,169.83999633789062,466.34039306640625,406.2174072265625,69.59845733642578
2024-02-09,186.9745330810547,174.4499969482422,464.4651184082031,412.53460693359375,72.08894348144531
2024-02-12,185.29141235351562,172.33999633789062,465.24896240234375,407.3454895019531,72.203857421875
2024-02-13,183.20236206054688,168.63999938964844,456.5373229980469,398.5758972167969,72.08394622802734
2024-02-14,182.32119750976562,170.97999572753906,469.5948181152344,402.4282531738281,73.8548583984375
2024-02-15,182.03407287597656,169.8000030517578,480.2611389160156,399.548828125,72.61360931396484
2024-02-16,180.49949645996094,169.50999450683594,469.6345520019531,397.0919494628906,72.56864166259766
2024-02-20,179.75692749023438,167.0800018310547,468.0767822265625,395.84381103515625,69.40957641601562
2024-02-21,180.5093994140625,168.58999633789062,464.87847900390625,395.2442626953125,67.43079376220703
2024-02-22,182.5390625,174.5800018310547,482.8565979003906,404.5509948730469,78.49002075195312
2024-02-23,180.70741271972656,174.99000549316406,480.7707214355469,403.26361083984375,78.76885223388672
2024-02-26,179.36093139648438,174.72999572753906,478.49609375,400.5118408203125,79.04369354248047
2024-02-27,180.81629943847656,173.5399932861328,483.7703857421875,400.45294189453125,78.65291595458984
2024-02-28,179.61831665039062,173.16000366210938,480.7607727050781,400.68878173828125,77.61556243896484
2024-02-29,178.95497131347656,176.75999450683594,486.8296813964844,406.50665283203125,79.06368255615234
2024-03-01,177.8758087158203,178.22000122070312,498.91766357421875,408.3345947265625,82.22872924804688
2024-03-04,173.36109924316406,177.5800018310547,494.8353576660156,407.7646484375,85.18492126464844
2024-03-05,168.43052673339844,174.1199951171875,486.9190368652344,395.70623779296875,85.91551971435547
2024-03-06,167.4404754638672,173.50999450683594,492.74951171875,395.1558837890625,88.64997100830078
2024-03-07,167.32167053222656,176.82000732421875,508.7410888671875,402.08428955078125,92.61673736572266
2024-03-08,169.03451538085938,175.35000610351562,502.54315185546875,399.21466064453125,87.47863006591797
2024-03-11,171.034423828125,171.9600067138672,480.33367919921875,397.5439758300781,85.72561645507812
2024-03-12,171.50965881347656,175.38999938964844,496.3848876953125,408.1184387207031,91.86116790771484
2024-03-13,169.43052673339844,176.55999755859375,492.2330017089844,407.9414978027344,90.83673858642578
2024-03-14,171.28196716308594,178.75,488.51824951171875,417.88702392578125,87.89440155029297
2024-03-15,170.90570068359375,174.4199981689453,480.84027099609375,409.2387390136719,87.78746032714844
2024-03-18,171.99478149414062,174.47999572753906,493.633544921875,410.12322998046875,88.40512084960938
2024-03-19,174.33135986328125,175.89999389648438,492.89849853515625,414.1426696777344,89.34757995605469
2024-03-20,176.89564514160156,178.14999389648438,502.11602783203125,417.89678955078125,90.32102966308594
2024-03-21,169.66810607910156,178.14999389648438,504.3409729003906,421.96539306640625,91.3834228515625
2024-03-22,170.569091796875,178.8699951171875,506.1487121582031,421.3462829589844,94.23580932617188
2024-03-25,169.1533203125,179.7100067138672,499.6328430175781,415.56768798828125,94.94841003417969
2024-03-26,168.0246124267578,178.3000030517578,492.5508728027344,414.3785400390625,92.50879669189453
2024-03-27,171.58885192871094,179.8300018310547,490.5345153808594,414.1623229980469,90.19910430908203
2024-03-28,169.7770538330078,180.3800048828125,482.3102722167969,413.4645690917969,90.30504608154297
2024-04-01,168.3414306640625,180.97000122070312,488.0414123535156,417.24822998046875,90.31202697753906
2024-04-02,167.1632537841797,180.69000244140625,494.0209045410156,414.1721496582031,89.40155792236328
2024-04-03,167.9652099609375,182.41000366210938,503.3277893066406,413.1992492675781,88.91382598876953
2024-04-04,167.14346313476562,180.0,507.4796447753906,410.673583984375,85.85652923583984
2024-04-05,167.89590454101562,185.07000732421875,523.7891235351562,418.1817626953125,87.95836639404297
2024-04-08,166.77713012695312,185.19000244140625,515.7535400390625,417.26788330078125,87.08385467529297
2024-04-09,167.9850311279297,185.6699981689453,513.41943359375,418.9287414550781,85.30584716796875
2024-04-10,166.11376953125,185.9499969482422,516.3296508789062,415.9607849121094,86.98991394042969
2024-04-11,173.3016815185547,189.0500030517578,519.63720703125,420.55023193359375,90.56489562988281
2024-04-12,174.7966766357422,186.1300048828125,508.45306396484375,414.6242370605469,88.13626098632812
2024-04-15,170.9750213623047,183.6199951171875,496.8616638183594,406.50665283203125,85.95248413085938
2024-04-16,167.69789123535156,183.32000732421875,496.39483642578125,407.43048095703125,87.36568450927734
2024-04-17,166.33160400390625,181.27999877929688,490.8424987792969,404.7377624511719,83.98760223388672
2024-04-18,165.38111877441406,179.22000122070312,498.4210510253906,397.2982482910156,84.62322998046875
2024-04-19,163.3614044189453,174.6300048828125,477.8306579589844,392.2370910644531,76.15702056884766
2024-04-22,164.1930389404297,177.22999572753906,478.48626708984375,394.04534912109375,79.47314453125
2024-04-23,165.24252319335938,179.5399932861328,492.7594299316406,400.5413513183594,82.37650299072266
2024-04-24,167.3414764404297,176.58999633789062,490.17694091796875,402.0056457519531,79.63206481933594
2024-04-25,168.2028350830078,173.6699981689453,438.4079284667969,392.1584777832031,82.58540344238281
2024-04-26,167.61866760253906,179.6199951171875,440.3050537109375,399.3129577636719,87.6855239868164
2024-04-29,171.7769775390625,180.9600067138672,429.7069091796875,395.3131103515625,87.70751953125
2024-04-30,168.63845825195312,175.0,427.2734069824219,382.6159362792969,86.353271484375
2024-05-01,167.61866760253906,179.0,436.2326354980469,388.1291809082031,82.99415588378906
2024-05-02,171.3116455078125,184.72000122070312,438.7059326171875,390.9792175292969,85.76859283447266
2024-05-03,181.55885314941406,186.2100067138672,448.91668701171875,399.6470947265625,88.7389144897461
2024-05-06,179.90545654296875,188.6999969482422,462.5442810058594,406.40838623046875,92.08802795410156
2024-05-07,180.58856201171875,188.75999450683594,465.0870361328125,402.28082275390625,90.50292205810547
2024-05-08,180.92523193359375,188.0,469.4176940917969,403.46014404296875,90.36101531982422
2024-05-09,182.737060546875,189.5,472.2187194824219,405.20947265625,88.69695281982422
2024-05-10,181.47796630859375,187.47999572753906,472.9934997558594,407.5877380371094,89.82730865478516
2024-05-13,184.6802215576172,186.57000732421875,464.858642578125,406.5853271484375,90.34801483154297
2024-05-14,185.82032775878906,187.07000732421875,468.6727294921875,409.3763427734375,91.30448150634766
2024-05-15,188.09068298339844,185.99000549316406,478.2975158691406,416.5338134765625,94.5766372680664
2024-05-16,188.20962524414062,183.6300048828125,470.0434265136719,414.4761657714844,94.3057861328125
2024-05-17,188.2393798828125,184.6999969482422,468.7323303222656,413.708251953125,92.42683410644531
2024-05-20,189.3993377685547,183.5399932861328,465.6829833984375,418.7589111328125,94.7265396118164
2024-05-21,190.6980743408203,183.14999389648438,461.5013732910156,422.40167236328125,95.33219909667969
2024-05-22,189.2605438232422,183.1300048828125,464.6300964355469,423.85870361328125,94.89644622802734
2024-05-23,185.27508544921875,181.0500030517578,462.6435852050781,420.3931884765625,103.74046325683594
2024-05-24,188.3484344482422,180.75,474.9998474121094,423.5043029785156,106.40895080566406
2024-05-28,188.3583526611328,182.14999389648438,476.68841552734375,423.661865234375,113.83675384521484
2024-05-29,188.65577697753906,182.02000427246094,471.1658020019531,422.5296325683594,114.7602310180664
2024-05-30,189.64718627929688,179.32000732421875,463.9050598144531,408.2540283203125,110.43767547607422
2024-05-31,190.59893798828125,176.44000244140625,463.6865234375,408.7068786621094,109.57115173339844
2024-06-03,192.36366271972656,178.33999633789062,474.2747497558594,407.12176513671875,114.93512725830078
2024-06-04,192.68092346191406,179.33999633789062,473.77813720703125,409.63232421875,116.37132263183594
2024-06-05,194.18785095214844,181.27999877929688,491.7264709472656,417.4494934082031,122.37094116210938
2024-06-06,192.80978393554688,185.0,490.43524169921875,417.95159912109375,120.92974853515625
2024-06-07,195.19912719726562,184.3000030517578,489.6405944824219,417.29193115234375,120.81981658935547
2024-06-10,191.46148681640625,187.05999755859375,499.2156982421875,421.249755859375,121.72130584716797
2024-06-11,205.3709716796875,187.22999572753906,504.0528869628906,425.9853210449219,120.85173034667969
2024-06-12,211.2401580810547,186.88999938964844,505.41363525390625,434.23565673828125,125.13966369628906
2024-06-13,212.40008544921875,183.8300018310547,500.7055969238281,434.7475891113281,129.5475311279297
2024-06-14,210.66513061523438,183.66000366210938,501.26239013671875,435.7222900390625,131.8164520263672
2024-06-17,214.80921936035156,184.05999755859375,503.71820068359375,441.4324645996094,130.91688537597656
2024-06-18,212.4496612548828,182.80999755859375,496.61920166015625,439.4339904785156,135.51466369628906
2024-06-20,207.87925720214844,186.10000610351562,498.8165283203125,438.8038330078125,130.71697998046875
2024-06-21,205.70806884765625,189.0800018310547,491.936279296875,442.82073974609375,126.50900268554688
2024-06-24,206.35247802734375,185.57000732421875,496.0425109863281,440.743408203125,118.05306243896484
2024-06-25,207.27450561523438,186.33999633789062,507.66534423828125,443.9726257324219,126.02922058105469
2024-06-26,211.4185791015625,193.61000061035156,510.1708679199219,445.1639404296875,126.3390884399414
2024-06-27,212.26129150390625,197.85000610351562,516.5737915039062,445.84320068359375,123.93025207519531
2024-06-28,208.8111572265625,193.25,501.322021484375,440.0345153808594,123.48046875
2024-07-01,214.88853454589844,197.1999969482422,501.7793884277344,449.6632080078125,124.24010467529297
2024-07-02,218.37832641601562,200.0,506.57171630859375,452.1737365722656,122.61087799072266
2024-07-03,219.64732360839844,197.58999633789062,507.02899169921875,453.64068603515625,128.21817016601562
2024-07-05,224.39617919921875,200.0,536.806884765625,460.32562255859375,125.76936340332031
2024-07-08,225.86346435546875,199.2899932861328,526.27783203125,459.0260314941406,128.13819885253906
2024-07-09,226.716064453125,199.33999633789062,526.9539184570312,452.4297180175781,131.3166961669922
2024-07-10,230.97914123535156,199.7899932861328,531.6168823242188,459.035888671875,134.84500122070312
2024-07-11,225.61561584472656,195.0500030517578,509.7532958984375,447.6646423339844,127.33860778808594
2024-07-12,228.56008911132812,194.49000549316406,496.00274658203125,446.5323791503906,129.177734375
2024-07-15,232.38697814941406,192.72000122070312,493.308349609375,446.93603515625,128.3781280517578
2024-07-16,232.80332946777344,193.02000427246094,486.9750061035156,442.564697265625,126.29910278320312
2024-07-17,226.91436767578125,187.92999267578125,459.3347473144531,436.6575622558594,117.93313598632812
2024-07-18,222.25473022460938,183.75,473.11505126953125,433.55633544921875,121.0316390991211
2024-07-19,222.3836212158203,183.1300048828125,474.0496520996094,430.3467712402344,117.8731689453125
2024-07-22,222.03663635253906,182.5500030517578,484.5987243652344,436.0865478515625,123.48046875
2024-07-23,223.07760620117188,186.41000366210938,485.8813171386719,437.967041015625,122.53091430664062
2024-07-24,216.6631622314453,180.8300018310547,458.6188659667969,422.2637939453125,114.1949462890625
2024-07-25,215.6221923828125,179.85000610351562,450.8040466308594,411.9263000488281,112.22588348388672
2024-07-26,216.08815002441406,182.5,463.0234375,418.6899719238281,113.00550842285156
2024-07-29,216.36575317382812,183.1999969482422,463.0333557128906,420.12738037109375,111.53621673583984
2024-07-30,216.92092895507812,181.7100067138672,460.5278625488281,416.3763732910156,103.68001556396484
2024-07-31,220.17274475097656,186.97999572753906,472.1009216308594,411.8771057128906,116.96359252929688
2024-08-01,216.4846954345703,184.07000732421875,494.8792724609375,410.6562194824219,109.15736389160156
