,AAPL,AMZN,META,MSFT,NVDA
2024-01-02,,,,,
2024-01-03,,,,,
2024-01-04,,,,,
2024-01-05,,,,,
2024-01-08,,,,,
2024-01-09,,,,,
2024-01-10,,,,,
2024-01-11,,,,,
2024-01-12,,,,,
2024-01-16,,,,,
2024-01-17,,,,,
2024-01-18,,,,,
2024-01-19,,,,,
2024-01-22,,,,,
2024-01-23,,,,,
2024-01-24,,,,,
2024-01-25,,,,,
2024-01-26,,,,,
2024-01-29,,,,,
2024-01-30,,,,,
2024-01-31,0.013366293584515784,0.013854730429212885,0.01428776467735092,0.010424213710851926,0.01978573215044926
2024-02-01,0.013582421956135878,0.01459513221124623,0.014085080611436524,0.010707983549462943,0.01904269929970193
2024-02-02,0.013295999217231767,0.020818952295231757,0.04609456770523949,0.01078733038118039,0.020557942092555515
2024-02-05,0.013373395861200352,0.021173480110774023,0.04740842333411372,0.011544915927112443,0.021707190714683904
2024-02-06,0.012425718028874022,0.020963505309292838,0.04770685010934761,0.01112079110338381,0.019978963816329288
2024-02-07,0.012401796969836289,0.02086859939823511,0.04773970951367561,0.01175243882043626,0.020209475358028594
2024-02-08,0.012448713996277621,0.020864340540383303,0.04754878616102945,0.01134125287881741,0.020608898666029555
2024-02-09,0.012436663155957456,0.021422029778428563,0.04758170468878206,0.011631967678577614,0.021214917062784864
2024-02-12,0.012633569690842438,0.02170622686151866,0.04764687522905169,0.012158261833351287,0.02108511966154122
2024-02-13,0.012580068290350684,0.022304874804693883,0.047645250776834056,0.01336704320875215,0.021000672331444727
2024-02-14,0.01257166103464241,0.02211488075426292,0.04772051009314427,0.013432041367844495,0.020694364555993314
2024-02-15,0.010060467243264063,0.022261539048208715,0.04773553322022459,0.013443283836235907,0.021773690119110387
2024-02-16,0.009370025540318742,0.02225524403272974,0.048371295726823714,0.013319827681916079,0.02080099905360363
2024-02-20,0.008726403848527475,0.02259034602192793,0.048353840610601315,0.013273127752084881,0.024003359113016258
2024-02-21,0.00859655385502649,0.022600940782024233,0.048528490607284355,0.013228710528660443,0.025343220925114544
2024-02-22,0.009190568528608544,0.02366985232730923,0.04892421458108831,0.01408264268917719,0.04338548311345531
2024-02-23,0.009336944640644926,0.023681169060079776,0.049047842117735975,0.01407606449244493,0.043392347853425245
2024-02-26,0.009290287131553774,0.023717418989659466,0.04914395553822739,0.014165300499578325,0.0431304810760431
2024-02-27,0.009608142264062083,0.023767912907285662,0.04912173288125829,0.013793302114776003,0.04326510561389449
2024-02-28,0.008820195048705794,0.023442699096942507,0.049183473157957895,0.01377954244689058,0.04361925355578364
2024-02-29,0.007805912480807991,0.022708788995754018,0.048470177270267326,0.012565779627570764,0.04300555029523035
2024-03-01,0.007116422303360621,0.02224601868237045,0.048547448564959295,0.01217991192417149,0.043355526368991384
2024-03-04,0.008832812103909182,0.014240904396131317,0.019062662825466314,0.011527206681825513,0.04286977179596189
2024-03-05,0.010002441210198094,0.014847466636865087,0.017744490050096318,0.013022617274706449,0.042105092914340614
2024-03-06,0.009490961121190961,0.01477163498657101,0.017537743876858067,0.013025313698138207,0.041812616099058085
2024-03-07,0.009451646793879019,0.015230119997227426,0.01751690379472646,0.012738007212559948,0.04228120945753879
2024-03-08,0.010090745037078862,0.015347572193638057,0.01790018215295139,0.012824582049779735,0.04491813384809889
2024-03-11,0.01058503885950879,0.014802634441971298,0.020846820339851475,0.012247253723139328,0.04512270440007047
2024-03-12,0.010642619344741639,0.015222720188468167,0.022005897656707418,0.01349806950004555,0.047136487011533945
2024-03-13,0.010675596216193989,0.01431106728760437,0.0215735325014638,0.012499613089609512,0.04734036070533021
2024-03-14,0.011169310825878222,0.014252577685219394,0.020907215541537263,0.013420958476995575,0.048288573782743656
2024-03-15,0.011165828322418095,0.015328221987032348,0.02068597443477553,0.01422312503302154,0.04796140449061617
2024-03-18,0.011283165558546328,0.015312801629696633,0.020779795107115015,0.01411519223040882,0.04789793645512808
2024-03-19,0.011818847535179451,0.01490435321694315,0.020755945475901438,0.014177545955202075,0.04615476610149921
2024-03-20,0.012307764225219375,0.015011867953057693,0.020917476412108678,0.01422276184068016,0.04508870052300363
2024-03-21,0.014845809871505595,0.012896521117397482,0.019272663333083327,0.013482895206257376,0.028531206933605426
